Symbol	Description
0HGC.L	PORSCHE AG NON VTG PRF NPV
0HGZ.L	TOWER GROUP A/S DKK10
0HHI.L	SURTECO SE NPV
0HHU.L	SIRAGA EUR3.75
0HI7.L	MEVIS MEDICAL SOLUTIONS AG NPV (REG)
0HIT.L	IBERDROLA SA EUR0.75
0HIY.L	BOLSAS Y MERCADOS ESPANOLES EUR3.23
0HJC.L	VILMORIN ET CIE EUR15.25
0HJF.L	ABB LTD CHF2.50(REGD)
0HJI.L	S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV
0HJL.L	ICADE EMGP NPV
0HK4.L	COMPAGNIE FINANCIERE RICHEMONT SA `A`CHF1(BR)EQUITY UNIT
0HKE.L	NOVARTIS AG CHF0.50(REGD)
0HKF.L	OC OERLIKON CORP AG CHF20(REGD)
0HL5.L	TRDNJAVA HLDG DD NPV
0HLE.L	FAIR VALUE REIT-AG NPV
0HLQ.L	TAG TEGERNSEE IMMO AG NPV
0HLU.L	EURONEXT AMSTERDAM EUR6
0HM0.L	VGP NV EUR0.014
0HMZ.L	GRUPPO COIN SPA. EUR0.10
0HN3.L	S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV
0HN9.L	THOMPSON CLIVE INVESTMENTS ORD GBP0.01
0HNZ.L	ARSEUS NV NPV
0HOB.L	ARCHER-DANIELS-MIDLAND CO COM STK NPV
0HOH.L	COFINIMMO ORD NPV
0HOJ.L	COMPUGROUP HOLDING AG NPV
0HOU.L	INGENICO EUR1
0HOV.L	INTRACOM HLDGS SA EUR1.41
0HOY.L	KONGSBERG AUTOMOTIVE ASA NOK0.50
0HQN.L	ALCOA INC COM STK USD1
0HQR.L	ALFA LAVAL AB NPV
0HQU.L	COLRUYT SA NPV
0HQW.L	STALLERGENES EUR0.95
0HR3.L	DUNI AB SEK10
0HRJ.L	SSAB(SVENSKT STAL)AB SER`A`NPV
0HRZ.L	L`OREAL EUR0.20
0HT4.L	FIAT SPA DI RISP EUR5(NON CNV)
0HTF.L	NORWEGIAN ENERGY CO SA NOK3.10
0HTP.L	VOLVO(AB) SER`B`NPV
0HV2.L	HERMES INTERNATIONAL NPV
0HV8.L	FONCIER FINANCIERE ET DE PARTICIP EUR2
0HVA.L	HAULOTTE GROUP EUR0.13
0HVB.L	INGENICO EUR1
0HVF.L	TESFRAN EUR20
0HVP.L	ROYAL CARIBBEAN CRUISES COM STK USD0.01
0HW0.L	KONGSBERG AUTOMOTIVE ASA NOK0.50
0HW4.L	SECURITAS AB SER`B`NPV
0HWG.L	NYSE EURONEXT INC COM STK USD0.01
0HX7.L	NORDIC SERVICE PARTNERS HLDGS AB NPV
0HX8.L	WEST SIBERIAN RESOURCES SDR EACH REPR I USD0.25
0HXB.L	TENARIS S.A. USD1
0HY2.L	CEMENTIR SPA EUR1
0HYI.L	SIMULATION ANALYSIS & FORECASTING CHF0.04 (BR)
0HYP.L	AGROS DEVELOPMENT PROODOS EUR1.71
0HYR.L	PANAYIDES CONTRACTING EUR0.34
0HZC.L	EURAZEO ORD NPV
0HZD.L	WENDEL INVESTISSEMENT EUR4
0I0H.L	PISCINES DES JOYAUX EUR3.09
0I0L.L	EUROMEDIS GROUPE EUR2
0I0N.L	FAUVET-GIREL(ETABL.) EUR8
0I0T.L	ORAL HAMMASLAAKARIT NPV
0I14.L	SANOMA WSOY OYJ NPV
0I1W.L	ROYAL CARIBBEAN CRUISES COM STK USD0.01
0I2R.L	ATLANTIA SPA EUR1
0I2T.L	I.T.B. NPV
0I3I.L	ATLANTIC AIRWAYS P/F DKK100
0I3T.L	CATERING INTL SERVICES CIS EUR0.80
0I3Z.L	DEUTSCHE EUROSHOP AG NPV
0I47.L	DRAGERWERK AG NON VTG PREF NPV
0I4P.L	STOREBRAND ASA `A`NOK5
0I4X.L	SODEXHO EUR4
0I50.L	ELMA HOLDING EUR0.09
0I5P.L	GLASTON OYJ NPV
0I6Q.L	DELHAIZE FRERES ET CIE(LE LION)SA NPV
0I77.L	CEE IMOTI REIT BGN1
0I82.L	PREMIER FUND REIT BGN1
0I8Y.L	ELISA OYJ NPV
0IA2.L	KINNEVIK INVESTMENTS AB SER`B`NPV
0IAH.L	SECURITAS AB SER`B`NPV
0IAX.L	DASSAULT AVIATION EUR8
0IB0.L	ARKEMA EUR10
0IBN.L	MEINL EUROPEAN LAND EUR5(AUST CERT)
0ICI.L	ORAPI EUR1
0ICP.L	CELL THERAPEUTICS INC COM STK NPV
0ICU.L	ORGASYNTH EUR2
0IDA.L	PIXELPARK AG NPV
0IDU.L	DOCKWISE LTD USD0
0IE3.L	MOLMED SPA NPV
0IE9.L	SEMAPA SOC INVEST E GESTAO SGPS EUR1
0IFR.L	PETROLINVEST S.A. PLN10
0IGA.L	ORIOLA-KD CORPORATION SER`B`NPV
0IGF.L	NEXANS EUR1
0IH3.L	KOMERCNI BANKA CZK500
0IH4.L	CELL THERAPEUTICS INC COM STK NPV
0IHK.L	NATIXIS EUR1.6 (POST SUBDV)
0IHM.L	ATRIUM LJUNGBERG SER`B`NPV (POST SPLIT)
0IHP.L	AMG ADVANCED METALLURGICAL GROUP N. EUR0.02
0II2.L	KONE OYJ NPV ORD `B`
0II4.L	GREENERGYCAPITAL SPA NPV
0IID.L	PARIS RE HLDGS LTD CHF9.72
0IIF.L	VIVENDI EUR5.5
0IIH.L	PPR EUR4
0IIO.L	SARANTIS SA EUR1.53
0IJO.L	MEINL EUROPEAN LAND EUR5(AUST CERT)
0IJV.L	ALITA LTL1
0IK2.L	NEOHIM AD BGN1
0IKH.L	KOMERCNI BANKA CZK500
0IKJ.L	WARTSILA OYJ ABP EUR3.5
0IKW.L	ST MICROELECTRONICS EUR1.04
0IL0.L	DEVIN AD DEVIN BGN1
0ILI.L	FLUIDRA SA EUR1
0ILL.L	LABORATORIOS FARMACEUTOCOS ROVI SA EUR0.06
0ILW.L	LYXOR INTL ASSET MANAGEMENT LYXOR ETF MSCI EMERGING MARKETS
0IM3.L	AKER PHILADELPHIA SHIPYARD NOK10
0IMT.L	PHOTOCURE ASA NOK0.5
0IN2.L	GROUPE BRUXELLES LAMBERT(NEW) NPV
0IN3.L	IMS(INTERNATIONAL METAL SERVICE) NPV
0INB.L	ST MICROELECTRONICS EUR1.04
0IND.L	DUNAV HOLDING JSC BGN1
0IP1.L	BASTIDE LE CONFORT MEDICAL EUR0.45
0IP9.L	PAGES JAUNES EUR0.2
0IPC.L	GALAPAGOS NV ORD NPV
0IPD.L	MOBOTIX AG NPV (REG)
0IPT.L	AKER SOLUTIONS ASA NOK2
0IPY.L	AUBAY TECHNOLOGY EUR0.50
0IQC.L	PETAR KARAMINCHEV AD BGN1
0IQU.L	MERCIALYS EUR1
0IR9.L	BULGARIAN HOLDING CO BGN1
0IRE.L	HYDROPNEVMOTEHNIKA JSC BGN2
0IRF.L	EVOTEC AG NPV
0IRK.L	ALTAREA NPV
0IRN.L	ASSYSTEM SA EUR1
0ISM.L	HKSCAN CORP NPV
0IT3.L	SCOR EUR7.876972
0ITS.L	INDUSTRIALEN KAPITAL HLDG AD BGN1
0ITV.L	ZENIT AGROHOLDING AD BGN1
0IU8.L	SAFRAN S.A. EUR0.20
0IUJ.L	INTER PARFUMS EUR 3
0IUQ.L	CNP ASSURANCES EUR4
0IUV.L	TOTAL GABON ORD USD17
0IV3.L	GRAND HOTEL VARNA BGN1
0IVJ.L	LECTRA EUR1.5
0IVM.L	SPAREBANKEN MIDT NORGE PRIMARY CAPITAL CERT NOK25
0IVW.L	BULGARSKA ROZA-SEVTOPOLIS BGN1
0IW3.L	SVINEKOMPLEKS NIKOLOVO AD BGN1
0IW5.L	THALES EUR3
0IW7.L	THOMSON SA EUR3.75
0IWU.L	FABASOFT AG NPV
0IWV.L	VAN DE VELDE ORD NPV
0IX0.L	GENERALE LOCATION EUR4
0IXL.L	NRJ GROUP ORD NPV
0IXT.L	LATECOERE EUR2
0IXZ.L	BOLLORE SA EUR16
0IYF.L	IDEAL GROUP SA PREF SHS EUR1.50
0IYG.L	AF AB SER`B` NPV
0IYS.L	PIRELLI & CO SPA EUR0.52
0IYU.L	TRASMISSIONE ELETTRICITA RETE NAZIO ORD EUR0.22
0IZ6.L	SIPEF NV(INTERN PLANT & FINANCE) NPV
0IZ8.L	HENKEL AG & CO KGAA NPV(BR)
0IZC.L	HENKEL AG & CO KGAA NON.V PRF NPV
0IZM.L	ABG SUNDAL COLLIER HLDG ASA NOK0.23`A`
0J03.L	RETELIT SPA NPV
0J04.L	ALLGEMEINE BAUGESELLSCHAFT PORR AG NPV(VAR)
0J1G.L	GREENERGYCAPITAL SPA NPV
0J1N.L	SPAREBANKEN NORD NORGE NOK50
0J1R.L	RYTU SKIRTOMIEJI TINKLAI LTL1
0J1Z.L	ZON MULTIMEDIA SERVICIOS EUR0.01
0J2R.L	ALSTOM EUR14
0J2X.L	EADS(EURO AERONAUTIC DEFENSE SPACE) EUR1
0J39.L	SOFIBUS NPV
0J3F.L	SODEXHO EUR4
0J3H.L	SLUNTCHEV DEN JSC - PLOVDIV BGN1
0J3X.L	COFINIMMO ORD NPV
0J50.L	ORAD HI TEC SYSTEMS ORD ILS0.01
0J5Q.L	DANE ELEC MEMORY EUR0.32
0J6V.L	FONCIERE DES REGIONS GFR EUR3
0J6W.L	LAMMHULTS DESIGN GROUP AB SER`B`NPV
0J6X.L	TELEPERFORMANCE EUR2.50
0J6Y.L	SOCIETE GENERALE EUR1.25
0J7U.L	LE BELIER EUR1.52
0J7X.L	MBB INDUSTRIES AG NPV
0J86.L	GERARD PERRIER INDUSTRIE EUR1
0J8S.L	ASPO OYJ NPV
0J8W.L	JACQUET METALS SA NPV
0J9C.L	DUERR AG NPV
0J9O.L	MANZ AUTOMATION AG NPV
